Degree Code,Name,ID,Start Term
NB000J,Non - matriculated (NB),365,Fall 2003
NB001J,Undeclared (NB),366,Fall 2003
NB001SJ,Undeclared - Pre-Social Work(NB),4423,Fall 2019
NB001WJ,Pre-med (NB),7161,Fall 2003
NB004J,Engineering - First Year (NB),8521,Fall 2024
NB005J,Engineering Five - Year (NB),369,Fall 2003
NB006J,Pre- business (NB),8524,Fall 2003
NB007J,Undeclared School of Environmental and Biological Sciences (NB),372,Fall 2007
NB009J,Pre - science (NB),373,Fall 2003
NB010J,Major in Accounting (NB),8125,Fall 2024
NB013AN,Minor in African Languages (NB),380,Fall 2018
NB013GJ,Major in Global Humanities (NB),383,Fall 2016
NB013J,"Major in African, Middle Eastern and South Asian Languages and Literatures (AMESALL) - Regional Option (NB)",385,Fall 2014
NB013N,"Minor in African, Middle Eastern and South Asian Languages and Literatures (AMESALL) (NB)",386,Fall 2009
NB014J,Major in Africana Studies (NB),390,Spring 2011
NB014N,Minor in Africana Studies (NB),391,Fall 2003
NB016N,Minor in African Area Studies (NB),393,Fall 2006
NB017J,Major in Agriculture and Food Systems (NB),406,Fall 2012
NB019N,Minor in Agroecology - SEBS (NB),414,Fall 2017
NB020EJ,Major in Agriculture and Food Systems: Teacher Education Track (Under Construction) (NB),4481,Spring 2019
NB020J,Major in Agriculture and Food Systems (NB),8421,Spring 2024
NB020N,Minor in Agriculture and Food Systems (NB),3402,Spring 2019
NB021J,Aerospace Engineering (NB),8362,Fall 2024
NB022J,Aerospace Engineering (5 year) (NB),2388,Fall 2019
NB038X,Certificate in Cancer Surveillance and Epidemiology (NB),8081,Spring 2024
NB043X,Certificate in Child Nutrition (NB),422,Fall 2013
NB050J,Major in American Studies (NB),426,Spring 2014
NB050N,Minor in American Studies (NB),428,Spring 2014
NB051N,Minor in Asian American Studies (NB),5181,Fall 2021
NB053X,Certificate in Community Development (NB),429,Fall 2016
NB067EJ,"Major in Animal Science, Preveterinary Medicine and Research Option (NB)",3122,Summer 2019
NB067GJ,"Major in Animal Science, Companion Animal Science (NB)",3121,Summer 2019
NB067J,"Major in Animal Science, Laboratory Animal Science Option (NB)",3126,Summer 2019
NB067MJ,"Major in Animal Science, Equine and Production Animal Science (NB)",6341,Fall 2022
NB067N,Minor in Animal Science - SEBS (NB),459,Spring 2018
NB068X,"Certificate in Philosophy, Politics and Economics (PPE) (NB)",465,Fall 2017
NB070CJ,Major in Cultural Anthropology (NB),2541,Winter Session 2019
NB070CN,Minor in Cultural Anthropology (NB),469,Fall 2009
NB070J,Major in Anthropology (NB),472,Fall 2009
NB070N,Minor in Anthropology (NB),3861,Spring 2007
NB071J,Major in Evolutionary Anthropology (NB),477,Fall 2009
NB071N,Minor in Evolutionary Anthropology (NB),478,Spring 2010
NB072AJ,Applied Sciences in Engineering - Packaging Option (NB),4542,Fall 2020
NB072J,Applied Sciences in Engineering (5 year) (NB),2392,Fall 2019
NB073AJ,Applied Sciences in Engineering - Packaging Option (NB),8363,Fall 2024
NB073J,Applied Sciences in Engineering (NB),2389,Fall 2019
NB074N,Minor in Arabic (NB),487,Fall 2018
NB075N,Minor in Archaeology (NB),474,Spring 2020
